match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1439785,2,2,2,S Sujay,Jayaraman Suresh Kumar,Sunny Sandhu,1,1,0,run,0,,,8/0
1439785,2,2,3,Jayaraman Suresh Kumar,S Sujay,Sunny Sandhu,1,1,0,run,0,,,9/0
1439785,2,2,4,S Sujay,Jayaraman Suresh Kumar,Sunny Sandhu,0,0,0,no run,0,,,9/0
1439785,2,2,5,S Sujay,Jayaraman Suresh Kumar,Sunny Sandhu,4,4,0,four,0,,,13/0
1439785,2,2,6,S Sujay,Jayaraman Suresh Kumar,Sunny Sandhu,0,0,0,no run,0,,,13/0
1439785,2,3,1,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,13/0
1439785,2,3,2,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,13/0
1439785,2,3,3,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,4,4,0,four,0,,,17/0
1439785,2,3,4,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,1,0,1,wide,0,,,18/0
1439785,2,3,5,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,4,4,0,four,0,,,22/0
1439785,2,3,6,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,22/0
1439785,2,3,7,Jayaraman Suresh Kumar,S Sujay,ME Yazh Arun Mozhi,4,4,0,four,0,,,26/0
1439785,2,4,1,S Sujay,Jayaraman Suresh Kumar,Sunny Sandhu,1,1,0,run,0,,,27/0
1439785,2,4,2,Jayaraman Suresh Kumar,S Sujay,Sunny Sandhu,0,0,0,no run,0,,,27/0
1439785,2,4,3,Jayaraman Suresh Kumar,S Sujay,Sunny Sandhu,0,0,0,out,1,caught,Jayaraman Suresh Kumar,27/1
1439785,2,4,4,Bhardwaj Sai Sudharsan,S Sujay,Sunny Sandhu,3,3,0,run,0,,,30/1
1439785,2,4,5,S Sujay,Bhardwaj Sai Sudharsan,Sunny Sandhu,0,0,0,no run,0,,,30/1
1439785,2,4,6,S Sujay,Bhardwaj Sai Sudharsan,Sunny Sandhu,0,0,0,no run,0,,,30/1
1439785,2,5,1,Bhardwaj Sai Sudharsan,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,30/1
1439785,2,5,2,Bhardwaj Sai Sudharsan,S Sujay,ME Yazh Arun Mozhi,0,0,0,no run,0,,,30/1
1439785,2,5,3,Bhardwaj Sai Sudharsan,S Sujay,ME Yazh Arun Mozhi,4,4,0,four,0,,,34/1
