season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2011,YK Pathan,Kolkata Knight Riders,4.537,11,11,283,25.7273,26.0,140.796,163.6364
2011,Yuvraj Singh,Pune Warriors,4.736,13,13,343,26.3846,23.0,131.4176,166.6667
2012,AA Jhunjhunwala,Deccan Chargers,7.0,3,3,24,8.0,4.0,92.3077,75.0
2012,AB de Villiers,Royal Challengers Bangalore,4.68,13,13,319,24.5385,14.0,161.1111,215.6627
2012,AD Mascarenhas,Kings XI Punjab,7.0,3,3,14,4.6667,5.0,87.5,100.0
2012,AD Mathews,Pune Warriors,6.282,8,8,127,15.875,11.0,117.5926,125.5319
2012,AD Russell,Delhi Daredevils,6.185,2,2,47,23.5,23.5,180.7692,206.6667
2012,AL Menaria,Rajasthan Royals,4.425,12,12,220,18.3333,20.0,108.9109,128.8136
2012,AM Nayar,Kings XI Punjab,4.612,4,4,45,11.25,9.5,91.8367,90.0
2012,AP Majumdar,Pune Warriors,4.636,4,4,87,21.75,23.5,114.4737,66.6667
2012,AT Rayudu,Mumbai Indians,4.858,15,15,333,22.2,18.0,132.1429,189.6552
2012,AUK Pathan,Royal Challengers Bangalore,5.0,2,2,6,3.0,3.0,85.7143,66.6667
2012,Azhar Mahmood,Kings XI Punjab,5.234,10,10,186,18.6,16.0,130.9859,158.3333
2012,B Chipli,Deccan Chargers,5.314,4,4,37,9.25,5.5,105.7143,166.6667
2012,BB Samantray,Deccan Chargers,6.0,1,1,2,2.0,2.0,100.0,100.0
2012,BJ Hodge,Rajasthan Royals,4.678,12,12,245,20.4167,17.5,140.0,150.0
2012,CA Lynn,Deccan Chargers,5.0,1,1,6,6.0,6.0,66.6667,50.0
2012,CJ Ferguson,Pune Warriors,5.286,4,4,50,12.5,12.0,79.3651,54.5455
2012,DA Miller,Kings XI Punjab,5.105,6,6,98,16.3333,13.5,130.6667,162.5
2012,DB Das,Kolkata Knight Riders,6.01,10,10,126,12.6,11.5,135.4839,140.678
2012,DJ Bravo,Chennai Super Kings,5.347,16,16,371,23.1875,20.5,140.5303,193.617
2012,DJ Hussey,Kings XI Punjab,4.259,15,15,396,26.4,18.0,129.8361,173.3333
2012,DT Christian,Deccan Chargers,4.262,7,7,145,20.7143,24.0,122.8814,161.7021
2012,GJ Maxwell,Delhi Daredevils,4.364,2,2,6,3.0,3.0,54.5455,
