season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2019,Murugesan Kamlesh,SKM Salem Spartans,4.143,3,3,37,12.3333,16.0,142.3077,
2019,N Sarangarajan Chaturved,Dindigul Dragons,3.897,7,7,94,13.4286,14.0,120.5128,217.3913
2019,N Selva Kumaran,Siechem Madurai Panthers,6.559,2,2,32,16.0,16.0,96.9697,
2019,Nidhish S Rajagopal,SKM Salem Spartans,3.764,5,5,68,13.6,13.0,98.5507,
2019,P Francis Rokins,VB Kanchi Veerans,5.909,4,4,33,8.25,3.0,103.125,357.1429
2019,Pradosh Ranjan Paul,Lyca Kovai Kings,3.83,5,5,113,22.6,18.0,114.1414,158.3333
2019,R Nilesh Subramanian,Siechem Madurai Panthers,4.273,6,6,71,11.8333,10.0,112.6984,223.0769
2019,R Rajkumar,IDream Tiruppur Tamizhans,6.4,6,6,64,10.6667,10.0,106.6667,170.8333
2019,RS Jaganath Sinivas,Lyca Kovai Kings,7.0,2,2,27,13.5,13.5,225.0,200.0
2019,RS Mokit Hariharan,VB Kanchi Veerans,7.0,1,1,25,25.0,25.0,113.6364,110.0
2019,Rajagopal Sathish,VB Kanchi Veerans,5.55,7,7,178,25.4286,22.0,183.5052,211.2903
2019,Rajendran Karthikeyan,SKM Salem Spartans,7.0,1,1,4,4.0,4.0,40.0,66.6667
2019,Rajendran Vivek,Dindigul Dragons,4.827,9,9,121,13.4444,11.0,153.1646,172.4138
2019,Ravichandran Ashwin,Dindigul Dragons,3.778,6,6,136,22.6667,19.0,141.6667,184.6154
2019,S Abishiek,SKM Salem Spartans,4.288,6,6,42,7.0,5.0,76.3636,
2019,S Ashwin Balaji,IDream Tiruppur Tamizhans,6.0,1,1,11,11.0,11.0,91.6667,120.0
2019,S Ganesh,IDream Tiruppur Tamizhans,5.628,3,3,41,13.6667,14.0,97.619,116.6667
2019,S Harish Kumar,Chepauk Super Gillies,5.99,9,9,150,16.6667,10.0,161.2903,188.5714
2019,S Senthil Nathan,SKM Salem Spartans,5.971,4,4,43,10.75,9.0,126.4706,131.25
2019,S Shubham Mehta,SKM Salem Spartans,5.0,1,1,0,0.0,0.0,0.0,
2019,Sabin Somatha Karnavar,Siechem Madurai Panthers,6.25,2,2,12,6.0,6.0,63.1579,50.0
2019,Sathiamoorty Vasanth Saravanan,SKM Salem Spartans,5.881,6,6,65,10.8333,8.5,114.0351,100.0
2019,Sumant Jain,Dindigul Dragons,4.548,9,9,113,12.5556,10.0,109.7087,131.25
2019,Tushar Raheja,Siechem Madurai Panthers,5.0,1,1,3,3.0,3.0,75.0,
2019,Umashankar Sushil,Chepauk Super Gillies,5.6,3,3,26,8.6667,4.0,89.6552,100.0
2019,Uthirasamy Sasidev,Chepauk Super Gillies,5.01,8,8,221,27.625,26.5,117.5532,165.8537
2019,V Maaruthi Raghav,Trichy Grand Cholas,4.85,3,3,42,14.0,15.0,105.0,88.2353
2019,Vijay Shankar,Chepauk Super Gillies,4.0,3,3,10,3.3333,3.0,76.9231,
2019,Vijaykumar Yo Mahesh,IDream Tiruppur Tamizhans,5.944,4,4,29,7.25,3.5,82.8571,113.3333
2019,Wenseslaus Antony Dhas,Lyca Kovai Kings,4.938,6,6,119,19.8333,9.5,148.75,106.6667
2021,Abhishek Baljeetsingh Tanwar,Lyca Kovai Kings,6.943,6,6,88,14.6667,13.0,176.0,184.7826
2021,Adithya Ganesh,Trichy Grand Cholas,4.571,9,9,249,27.6667,28.0,107.7922,160.0
2021,Affan Khader,IDream Tiruppur Tamizhans,7.0,1,1,0,0.0,0.0,0.0,
2021,Akash Sumra,Trichy Grand Cholas,6.0,2,2,1,0.5,0.5,33.3333,33.3333
2021,Arjun P Murthy,Nellai Royal Kings,5.533,4,4,45,11.25,5.0,166.6667,189.4737
2021,Ashwin Venkataraman,Lyca Kovai Kings,4.119,4,4,53,13.25,14.0,79.1045,
2021,Atheeq Ur Rahman,Lyca Kovai Kings,4.0,1,1,3,3.0,3.0,37.5,
2021,Baba Indrajith,Nellai Royal Kings,5.48,5,5,123,24.6,26.0,130.8511,175.0
2021,Daryl Sunder Ferrario,SKM Salem Spartans,5.0,5,5,124,24.8,30.0,116.9811,160.5263
2021,Jagatheesan Kousik,Siechem Madurai Panthers,4.843,7,7,165,23.5714,29.0,130.9524,213.8889
2021,K Mani Bharathi,Dindigul Dragons,3.944,9,9,187,20.7778,16.0,137.5,86.6667
2021,M Mohammed,IDream Tiruppur Tamizhans,6.926,7,7,96,13.7143,10.0,86.4865,135.8491
2021,M Rooban Raj,IDream Tiruppur Tamizhans,5.0,1,1,0,0.0,0.0,0.0,
2021,M Shajahan,Siechem Madurai Panthers,5.426,4,4,43,10.75,11.0,86.0,118.75
2021,M Suganesh,SKM Salem Spartans,7.0,1,1,8,8.0,8.0,61.5385,
2021,MS Sanjay,Dindigul Dragons,4.0,2,2,3,1.5,1.5,15.7895,14.2857
2021,Maan K Bafna,IDream Tiruppur Tamizhans,4.006,7,7,180,25.7143,16.0,109.0909,169.2308
2021,Masood Shahrukh Khan,Lyca Kovai Kings,5.369,7,7,210,30.0,26.0,177.9661,209.8039
2021,Muhammed Adnan Khan,Trichy Grand Cholas,4.419,7,7,107,15.2857,9.0,108.0808,14.2857
2021,Murugan Ashwin,SKM Salem Spartans,6.657,6,6,117,19.5,14.5,113.5922,130.9091
2021,P Francis Rokins,IDream Tiruppur Tamizhans,4.902,7,7,129,18.4286,12.0,102.381,140.0
2021,P Sugendhiran,Siechem Madurai Panthers,5.636,2,2,9,4.5,4.5,81.8182,112.5
2021,R Mithun,Siechem Madurai Panthers,6.828,3,3,18,6.0,4.0,64.2857,75.0
2021,RS Jaganath Sinivas,Chepauk Super Gillies,5.191,5,5,50,10.0,8.0,111.1111,192.8571
2021,RS Mokit Hariharan,Dindigul Dragons,4.86,9,9,117,13.0,6.0,110.3774,152.5
2021,Rajagopal Sathish,Chepauk Super Gillies,5.541,8,8,141,17.625,11.0,145.3608,155.102
2021,Rajendran Vivek,Dindigul Dragons,4.862,9,9,240,26.6667,16.0,157.8947,168.6275
2021,Rajhamany Srinivasan,Dindigul Dragons,3.824,7,7,125,17.8571,14.0,106.8376,
2021,Ramalingam Rohit,Siechem Madurai Panthers,4.0,2,2,6,3.0,3.0,50.0,33.3333
2021,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.989,6,6,126,21.0,26.5,151.8072,180.0
2021,Ramsingh Sonu Yadav,Chepauk Super Gillies,5.634,5,5,42,8.4,7.0,107.6923,150.0
2021,Ravi Karthikeyan,SKM Salem Spartans,4.381,3,3,8,2.6667,2.0,42.1053,33.3333
2021,Ravisrinivasan Sai Kishore,Chepauk Super Gillies,5.308,4,4,53,13.25,10.5,106.0,88.8889
2021,S Aravind,IDream Tiruppur Tamizhans,4.447,5,5,40,8.0,7.0,95.2381,180.0
2021,S Harish Kumar,Chepauk Super Gillies,6.712,7,7,72,10.2857,7.0,146.9388,156.0976
2021,S Sujay,Chepauk Super Gillies,4.132,4,4,28,7.0,9.0,77.7778,180.0
2021,S Swaminathan,Dindigul Dragons,6.692,8,8,42,5.25,3.0,107.6923,125.8065
2021,Tushar Raheja,IDream Tiruppur Tamizhans,4.412,5,5,42,8.4,9.0,87.5,150.0
2021,U Mukilesh,Lyca Kovai Kings,5.208,5,5,52,10.4,6.0,100.0,117.6471
2021,Umashankar Sushil,SKM Salem Spartans,4.286,5,5,55,11.0,11.0,100.0,64.7059
