season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2021,M Shajahan,Siechem Madurai Panthers,5.43,4,4,43,10.8,11.0,86.0,118.8,-0.75,-1.14,-0.72,-0.35,-0.74,26
2021,U Mukilesh,Lyca Kovai Kings,5.21,5,5,52,10.4,6.0,100.0,117.6,-0.8,-0.64,-0.75,-0.98,-0.79,27
2021,Umashankar Sushil,SKM Salem Spartans,4.29,5,5,55,11.0,11.0,100.0,64.7,-0.71,-0.64,-2.01,-0.35,-0.92,28
2021,S Swaminathan,Dindigul Dragons,6.69,8,8,42,5.2,3.0,107.7,125.8,-1.54,-0.36,-0.55,-1.36,-0.95,29
2021,Muhammed Adnan Khan,Trichy Grand Cholas,4.42,7,7,107,15.3,9.0,108.1,14.3,-0.09,-0.35,-3.21,-0.6,-1.06,30
2022,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.2,9,9,452,50.2,55.0,186.8,230.6,3.73,1.7,1.44,4.21,2.77,1
2022,Guruswamy Ajitesh,Nellai Royal Kings,5.75,5,5,129,25.8,17.0,243.4,266.7,0.95,3.26,2.16,0.29,1.66,2
2022,Masood Shahrukh Khan,Lyca Kovai Kings,5.62,8,8,187,23.4,20.5,164.0,209.3,0.67,1.08,1.02,0.65,0.86,3
2022,Uthirasamy Sasidev,Chepauk Super Gillies,4.83,8,8,204,25.5,15.0,132.5,200.0,0.91,0.21,0.84,0.08,0.51,4
2022,Rajendran Vivek,Dindigul Dragons,5.78,6,6,107,17.8,9.0,150.7,225.0,0.04,0.71,1.33,-0.54,0.39,5
2022,Tushar Raheja,IDream Tiruppur Tamizhans,5.59,6,6,124,20.7,19.0,124.0,192.3,0.36,-0.02,0.69,0.49,0.38,6
2022,Ramsingh Sonu Yadav,Chepauk Super Gillies,4.58,6,6,107,17.8,19.0,152.9,166.7,0.04,0.77,0.18,0.49,0.37,7
2022,Maan K Bafna,IDream Tiruppur Tamizhans,4.58,7,7,182,26.0,26.0,107.1,141.5,0.97,-0.49,-0.32,1.22,0.35,8
2022,N Sarangarajan Chaturved,Siechem Madurai Panthers,4.22,8,8,180,22.5,15.5,136.4,135.3,0.57,0.32,-0.44,0.13,0.15,9
2022,Poovathinga Shijit Chandran,Lyca Kovai Kings,4.03,6,6,76,12.7,13.0,104.1,220.0,-0.55,-0.57,1.24,-0.13,-0.0,10
2022,U Mukilesh,Lyca Kovai Kings,4.97,7,7,124,17.7,6.0,144.2,166.7,0.03,0.53,0.18,-0.85,-0.03,11
2022,S Rithik Easwaran,Siechem Madurai Panthers,5.08,4,4,59,14.8,8.0,118.0,200.0,-0.31,-0.19,0.84,-0.64,-0.07,12
2022,Rajagopal Sathish,Chepauk Super Gillies,5.62,8,8,80,10.0,6.5,148.1,183.3,-0.85,0.64,0.51,-0.8,-0.12,13
2022,Karaparambil Satish Monish,Dindigul Dragons,6.83,4,4,54,13.5,10.5,145.9,142.9,-0.45,0.58,-0.29,-0.38,-0.14,14
2022,Adithya Ganesh,Trichy Grand Cholas,4.32,5,5,103,20.6,15.0,105.1,131.0,0.36,-0.54,-0.52,0.08,-0.16,15
2022,Daryl Sunder Ferrario,SKM Salem Spartans,4.16,7,7,144,20.6,13.0,107.5,129.4,0.35,-0.48,-0.56,-0.13,-0.2,16
2022,Ravisrinivasan Sai Kishore,Chepauk Super Gillies,4.49,5,5,111,22.2,19.0,124.7,50.0,0.54,-0.0,-2.13,0.49,-0.27,17
2022,Baba Indrajith,Nellai Royal Kings,4.75,7,7,91,13.0,9.0,112.3,169.2,-0.51,-0.34,0.23,-0.54,-0.29,18
2022,RS Mokit Hariharan,Dindigul Dragons,4.88,6,6,68,11.3,7.0,113.3,187.5,-0.7,-0.32,0.59,-0.75,-0.29,19
2022,Andimani Ganga Pradeep,Dindigul Dragons,4.43,4,4,42,10.5,8.5,123.5,133.3,-0.79,-0.04,-0.48,-0.59,-0.47,20
2022,Murugan Ashwin,SKM Salem Spartans,5.58,7,7,93,13.3,11.0,108.1,116.7,-0.48,-0.46,-0.81,-0.33,-0.52,21
2022,Jagatheesan Kousik,Siechem Madurai Panthers,4.96,8,8,102,12.8,11.5,93.6,118.4,-0.54,-0.86,-0.77,-0.28,-0.61,22
2022,P Francis Rokins,IDream Tiruppur Tamizhans,4.93,4,4,55,13.8,15.0,68.8,125.0,-0.42,-1.54,-0.64,0.08,-0.63,23
2022,Ravi Karthikeyan,SKM Salem Spartans,5.4,5,5,63,12.6,12.0,96.9,100.0,-0.55,-0.77,-1.14,-0.23,-0.67,24
2022,S Abishiek,SKM Salem Spartans,5.45,7,7,85,12.1,13.0,81.0,82.5,-0.61,-1.21,-1.48,-0.13,-0.86,25
2022,R Rajkumar,IDream Tiruppur Tamizhans,4.97,6,6,36,6.0,5.5,105.9,115.8,-1.31,-0.52,-0.83,-0.9,-0.89,26
2022,Selvam Suresh Kumar,IDream Tiruppur Tamizhans,5.37,4,4,18,4.5,4.5,72.0,114.3,-1.48,-1.45,-0.86,-1.0,-1.2,27
2023,Sunny Sandhu,SKM Salem Spartans,5.17,5,5,182,36.4,29.0,137.9,175.0,2.88,0.4,0.37,2.06,1.42,1
2023,C Sarath Kumar,Dindigul Dragons,6.4,5,5,137,27.4,25.0,163.1,170.6,1.51,1.32,0.3,1.49,1.15,2
2023,S Rithik Easwaran,Nellai Royal Kings,4.65,8,8,152,19.0,18.0,165.2,276.9,0.24,1.4,2.03,0.49,1.04,3
2023,Masood Shahrukh Khan,Lyca Kovai Kings,5.73,7,7,133,19.0,17.0,190.0,200.0,0.24,2.31,0.77,0.35,0.92,4
2023,Atheeq Ur Rahman,Lyca Kovai Kings,5.68,5,5,122,24.4,19.0,164.9,176.3,1.05,1.39,0.39,0.63,0.87,5
2023,Jafar Jamal,Trichy Grand Cholas,4.53,6,6,142,23.7,7.5,167.1,255.6,0.94,1.47,1.68,-1.01,0.77,6
2023,U Mukilesh,Lyca Kovai Kings,4.61,8,8,202,25.2,24.0,122.4,170.0,1.18,-0.17,0.29,1.35,0.66,7
2023,Vijay Shankar,IDream Tiruppur Tamizhans,4.25,6,6,144,24.0,28.0,130.9,125.7,0.99,0.14,-0.44,1.92,0.65,8
2023,Washington Sundar,Siechem Madurai Panthers,4.86,5,5,119,23.8,18.0,138.4,180.8,0.96,0.41,0.46,0.49,0.58,9
2023,Adithya Ganesh,Dindigul Dragons,4.0,9,9,195,21.7,19.0,125.8,182.4,0.64,-0.05,0.49,0.63,0.43,10
2023,Ramsingh  Sanjay Yadav,Chepauk Super Gillies,4.17,7,7,102,14.6,15.0,115.9,258.3,-0.44,-0.41,1.72,0.06,0.24,11
2023,Daryl Sunder Ferrario,Trichy Grand Cholas,4.41,7,7,154,22.0,21.0,119.4,115.4,0.69,-0.28,-0.6,0.92,0.18,12
2023,Swapnil Singh,Siechem Madurai Panthers,4.79,8,8,150,18.8,15.5,131.6,165.2,0.2,0.16,0.21,0.14,0.18,13
2023,Balchander Anirudh,IDream Tiruppur Tamizhans,4.69,7,7,125,17.9,15.0,133.0,160.4,0.06,0.22,0.13,0.06,0.12,14
2023,Subodh Bhati,Dindigul Dragons,6.12,6,6,88,14.7,12.0,151.7,152.8,-0.42,0.9,0.01,-0.36,0.03,15
2023,Ramsingh Sonu Yadav,Nellai Royal Kings,5.55,7,7,115,16.4,17.0,123.7,125.0,-0.16,-0.13,-0.45,0.35,-0.09,16
2023,Rajendran Vivek,IDream Tiruppur Tamizhans,4.99,7,7,87,12.4,11.0,131.8,148.6,-0.76,0.17,-0.06,-0.51,-0.29,17
